"Value","Qty","Reference","Footprint"
"MCU","1","J2","GS_Connectors:JST_XH_S4B-XH-A-1_1x04_P2.50mm_Horizontal"
"Encoder","1","J1","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal"
"LM358","1","U1","Package_DIP:DIP-8_W7.62mm_LongPads"
"10uF","1","C2","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"100k","4","R1,R2,R3,R5","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"1k","4","R4,R6,R7,R10","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"10k","2","R8,R9","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal"
"100nF","6","C1,C3,C4,C5,C6,C7","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"
"10nF","2","C8,C9","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"
"LM311","2","U2,U3","Package_DIP:DIP-8_W7.62mm_LongPads"
